patient,data_gen_time,Ch_CV,i_CV,kernel_size_CV,coef_CV,time_CV,Ch_REG,time_REG,model.coef0,model.coef1
patient_406,14.988572359085085,0.1514002922219331,23,11,0.6,613.9414777755737,0.2147967860274592,149.64654564857483,0.3321261352882131,2.335480517505761e-06
patient_513,11.642170667648315,0.145258484,23,11,0.6,760.7002878189087,0.1989212953218209,182.09188532829285,0.3765833497627826,1.547065885480122e-06
patient_101,20.568400382995605,0.1315555906213619,22,11,0.5,784.7756648,0.2264738272191299,197.6547601222992,0.2380261024998716,2.4245406296554067e-06
patient_31,22.146987199783325,0.1603770270942213,23,11,0.6,761.4318120479584,0.2375202621335723,201.85045671463013,0.225162689,3.2009568500983264e-06
patient_484,18.700870037078857,0.1298703531817932,22,11,0.5,872.1796786785126,0.2207309912790838,215.28694558143616,0.3130471144755692,2.6639842074339945e-06
patient_855,13.674345254898071,0.1477653743010392,23,11,0.6,652.3443183898926,0.2049289888319935,155.7430624961853,0.3845547415850403,1.9456319793302765e-06
patient_465,14.863277912139893,0.1492519444198547,23,11,0.6,554.7582516670227,0.2104316844494944,132.18239045143127,0.3754535765303078,2.286719589808704e-06
patient_643,13.531898736953735,0.123697761,22,11,0.5,901.6002569198608,0.2037411945646824,211.13081312179563,0.2929745443676895,1.4231824183337995e-06
patient_285,13.424706220626833,0.1479349229204866,23,11,0.6,531.1819784641266,0.2100941744969354,131.1297070980072,0.3927531129698338,2.3653556752982662e-06
patient_60,12.779545307159424,0.1465437492475445,23,11,0.6,481.9346344470978,0.2068072141947488,114.00324201583862,0.4461826822408365,2.406308175098112e-06
patient_686,12.273974180221558,0.1446853083486743,23,11,0.6,830.6379528045654,0.195180632,199.74853110313416,0.4103005419230668,1.4758352340404044e-06
patient_14,12.746742248535156,0.147249077,23,11,0.6,491.87486839294434,0.2102816426838222,118.45958185195924,0.404180334,2.449421078913036e-06
patient_267,12.773470878601074,0.1231378119175327,22,11,0.5,882.1125495433807,0.1978927762018114,221.52688646316528,0.3530694954631934,1.3987771543307325e-06
patient_145,16.33267903327942,0.1514002922219331,23,11,0.6,621.7141115665436,0.2151940761252816,150.61379957199097,0.3178583390559454,2.264250842969681e-06
patient_344,13.32650637626648,0.122995353,22,11,0.5,895.2360873222351,0.2008350000041835,220.7710233,0.3179859497433118,1.3968908759855402e-06
patient_474,17.858286142349243,0.155470239,23,11,0.6,637.5908475,0.2271696249227352,170.03691363334656,0.2978016679806315,3.0992577650543115e-06
patient_874,13.328497648239136,0.1492519444198547,23,11,0.6,543.4314520359039,0.2066786767534712,128.6909680366516,0.4224939631036372,2.2686576266193503e-06
patient_878,14.423612833023071,0.1516925631038592,23,11,0.6,602.3682468,0.2182248027371546,143.04376697540283,0.2950746562001116,2.3181387259240063e-06
patient_432,18.75887942314148,0.1309758154155504,22,11,0.5,636.2340440750122,0.2233154950158824,174.47404670715332,0.2989043527938305,2.7595800202596374e-06
patient_663,13.516045331954956,0.1486026215252187,23,11,0.6,555.4749042987823,0.2099808388300668,140.61098980903623,0.3942825542073569,2.365614484689696e-06
patient_308,14.525854110717772,0.1511044415774324,23,11,0.6,592.8139197826385,0.2126294990405169,138.5147261619568,0.3470836682146759,2.27340879541666e-06
patient_181,17.136858701705933,0.1289217092200862,22,11,0.5,578.8756175041199,0.2201449619490334,158.0399956703186,0.3158545569127672,2.638318053874015e-06
patient_337,12.401446104049684,0.1228518510340898,22,11,0.5,918.7304129600524,0.1992111211827182,216.99559092521667,0.3300799338137479,1.3699128107199076e-06
patient_318,9.762184143066406,0.1659558732092797,24,11,0.7,387.8065011501312,0.1990433931760953,93.66117144,0.7293925829041856,3.0093621524018158e-06
patient_630,11.494240760803224,0.1458173297513768,23,11,0.6,486.8428750038147,0.2065970335668096,114.14850211143494,0.4743934278444103,2.5403056770949933e-06
patient_97,13.308056354522703,0.1492519444198547,23,11,0.6,542.8688616752625,0.2118399372717243,127.3818061351776,0.3619320726689334,2.309727202849756e-06
patient_304,13.122090816497805,0.1242425725606423,22,11,0.5,1008.6621210575104,0.2024826255113298,235.2339773178101,0.28097191,1.3069410335992324e-06
patient_837,18.364722967147827,0.1311707968851155,22,11,0.5,777.0482969284058,0.2212065105980301,203.25410628318787,0.3141190578579638,2.713678332201677e-06
patient_538,17.963813543319702,0.1297670585248074,22,11,0.5,604.5554636,0.2187950960448805,164.9072871208191,0.3503854283304937,2.8034180678266827e-06
patient_627,14.409918069839478,0.1514002922219331,23,11,0.6,705.7976009845734,0.2145816636602127,161.42458271980286,0.3330512796656633,2.3256165449390094e-06
patient_8,18.87466716766357,0.1312677456536988,22,11,0.5,804.1546249389648,0.2261305144196816,194.71637535095212,0.2330187157097262,2.348463120262078e-06
patient_144,15.01669216156006,0.1270074964451849,22,11,0.5,1054.669568,0.207153065,252.24866437911987,0.2599429785974692,1.418392331568448e-06
patient_483,13.612059116363524,0.1246420082090897,22,11,0.5,698.3195123672485,0.2053369895482117,169.03456926345825,0.3720283097952236,1.908644600786849e-06
patient_270,13.315810680389404,0.1492519444198547,23,11,0.6,549.3331372737885,0.2144600589862204,134.16938400268555,0.3450460895291146,2.39983179443744e-06
patient_363,13.02712631225586,0.1492519444198547,23,11,0.6,597.4488596916199,0.213962689,135.87742352485657,0.3323117933169615,2.274001971980499e-06
patient_391,20.396634817123413,0.1326716553585418,22,11,0.5,1063.8351228237152,0.2242350166559981,256.59470224380493,0.2115560398125294,2.0101487974697068e-06
patient_30,13.144432306289673,0.1243766203498789,22,11,0.5,1167.5206060409546,0.2026489675658254,274.57394337654114,0.2668445143523623,1.248382847490278e-06
patient_783,13.397951364517212,0.122995353,22,11,0.5,1081.8689012527466,0.1981344093458297,249.24046683311465,0.3354012429825631,1.340178804269676e-06
patient_293,13.90162754058838,0.1492519444198547,23,11,0.6,649.1849465370178,0.2141438079640774,156.98175692558289,0.3452505241948545,2.37657618017321e-06
patient_807,13.77331256866455,0.1239719625153742,22,11,0.5,918.5483093,0.2036302234519649,218.6976456642151,0.3271390453384495,1.58309432506651e-06
patient_526,15.95745062828064,0.1449354852093506,19,9,0.7,656.2431643009186,0.1916820123472991,159.5514476299286,0.6582176063061521,2.08601660379239e-06
patient_759,22.343664169311523,0.1305800611858211,22,11,0.5,863.9658541679382,0.2185003422882841,232.98605251312256,0.342621758,2.71555458205418e-06
patient_527,17.444972276687622,0.1498845160084332,23,11,0.6,656.7264530658722,0.2156989147458641,162.40690517425537,0.3255502031846995,2.357395424120365e-06
patient_706,14.854387998580933,0.1482710777696302,23,11,0.6,974.7266197,0.2127566761650097,224.02529788017276,0.3668112453790472,2.4127024467221697e-06
patient_569,16.256205320358276,0.1508048355536105,23,11,0.6,703.7745182514191,0.2151174347957737,159.88584995269775,0.3190325820748265,2.2669558238246027e-06
patient_587,22.42666912078857,0.1305800611858211,22,11,0.5,871.0459823608398,0.2219062968982882,218.5158333778381,0.2894731911411996,2.556668830953147e-06
patient_764,15.256580114364624,0.1492519444198547,23,11,0.6,779.3085894584656,0.211837318,159.28083753585815,0.3563551252206671,2.2739402122318627e-06
patient_236,17.798898696899414,0.1492519444198547,23,11,0.6,677.1645572185516,0.2110945718444925,156.7535183429718,0.36835892656977337,2.293450679126996e-06
patient_788,13.249558210372925,0.1489292830623352,23,11,0.6,654.3886198997498,0.2087742637219906,147.12701964378357,0.39028185261178944,2.249033002506707e-06
patient_382,13.351342916488647,0.14827107776963028,23,11,0.6,590.3338718414307,0.2083690380075717,138.54867553710938,0.40008656662564573,2.274390443182856e-06
patient_687,11.90242052078247,0.14618295408779658,23.0,11.0,0.6,536.0591073036194,0.20539375625556766,121.65448045730591,0.48664069898769347,2.5014846039368543e-06
patient_583,14.420732975006104,0.12641046925321603,22.0,11.0,0.5,828.9712014198303,0.21065618945895523,202.62567257881165,0.3023828573105561,1.8554765920109567e-06
patient_475,11.821401357650757,0.14636415276958759,23.0,11.0,0.6,640.4792699813843,0.2025758631997178,157.72920107841492,0.4466216112725034,2.0841662864321047e-06
patient_761,13.535121440887451,0.1492519444198547,23.0,11.0,0.6,648.9396059513092,0.21157461810870382,146.77357387542725,0.35899793826109044,2.2709922870524403e-06
patient_204,15.850918769836426,0.15034868858440956,23.0,11.0,0.6,819.833922624588,0.21066812077019337,201.93857431411743,0.4000233338972022,2.4555897894719985e-06
patient_384,14.764313459396362,0.15050165788455966,23.0,11.0,0.6,641.4884934425354,0.21185316892152317,149.91299271583557,0.37646794511806214,2.4035408131851763e-06
patient_506,18.053513050079346,0.13017774962804116,22.0,11.0,0.5,696.7894380092621,0.224905852733332,186.69428133964539,0.30227397818863966,2.932815937973883e-06
patient_271,19.565295457839966,0.13107349346113178,22.0,11.0,0.5,837.0430588722229,0.22159301106777202,216.51384830474854,0.31533286579643577,2.757657937885808e-06
